,doc,token,pos,tag,nerLabel
123,5,rcd,NN,O,NEB
124,5,that,WDT,O,Nothing
125,5,allows,VBZ,O,Nothing
126,5,server,NN,B-ARG0,NEB
127,5,to,TO,O,Nothing
128,5,enter,VB,B-V,Nothing
129,5,an,DT,B-ARG1,Nothing
130,5,infinite,NN,I-ARG1,NEB
131,5,loop,NN,I-ARG1,NEI
132,5,cube,NN,I-ARG1,NEI
133,5,security,NN,I-ARG1,NEI
134,5,linux,NN,I-ARG1,NEO
135,6,uses,NNS,O,NEB
136,6,and,CC,O,Nothing
137,6,blocker,NN,O,NEB
138,6,bypass,NN,O,NEI
139,6,technology,NN,O,NEO
140,6,which,WDT,O,Nothing
141,6,increases,VBZ,O,Nothing
142,6,your,PRP$,O,Nothing
143,6,vulnerability,NN,O,NEB
144,6,to,TO,O,Nothing
145,6,infection,NN,O,NEB
146,6,from,IN,O,Nothing
147,6,advertising,VBG,B-V,Nothing
148,6,malicious,JJ,B-ARG1,NEB
149,6,ads,NNS,I-ARG1,NEO
150,6,cube,VBP,O,Nothing
151,6,security,NN,O,NEB
152,6,business,NN,O,NEO
153,6,small,JJ,O,Nothing
154,6,biz,NN,O,NEB
155,6,startup,NN,O,NEO
156,7,hey,NN,O,NEB
157,7,jack,NN,O,NEO
158,7,which,WDT,O,Nothing
159,7,one,CD,O,Nothing
160,7,of,IN,O,Nothing
161,7,these,DT,O,Nothing
162,7,is,VBZ,O,Nothing
163,7,code,NN,O,NEB
164,7,for,IN,O,Nothing
165,7,this,DT,O,Nothing
166,7,is,VBZ,O,Nothing
167,7,clearly,RB,O,Nothing
168,7,an,DT,O,Nothing
169,7,account,NN,O,NEB
170,7,created,VBN,O,Nothing
171,7,by,IN,O,Nothing
172,7,a,DT,O,Nothing
173,7,botnet,NN,O,NEB
174,7,along,IN,O,Nothing
175,7,with,IN,O,Nothing
176,7,the,DT,O,Nothing
177,7,other,JJ,O,Nothing
178,7,of,IN,O,Nothing
179,7,accounts,NNS,B-ARG0,NEB
180,7,that,WDT,B-R-ARG0,Nothing
181,7,just,RB,B-ARGM-TMP,Nothing
182,7,followed,VBD,B-V,Nothing
183,7,me,PRP,B-ARG1,Nothing
184,9,tango,VB,B-V,NEB
185,9,down,RP,B-ARGM-DIR,Nothing
186,9,malware,NN,B-ARG1,NEB
187,9,sadie,NN,I-ARG1,NEO
188,10,the,DT,O,Nothing
189,10,panda,NN,O,NEB
190,10,atheist,NN,O,NEO
191,10,bubbly,RB,O,Nothing
192,10,us,PRP,O,Nothing
193,10,survive,JJ,O,Nothing
194,10,heart,NN,O,NEB
195,10,can,MD,O,Nothing
196,10,you,PRP,O,Nothing
197,10,please,VB,O,NEB
198,10,fix,VB,O,Nothing
199,10,psi,FW,O,Nothing
200,10,a,DT,O,Nothing
201,10,of,IN,O,Nothing
202,10,of,IN,O,Nothing
203,10,abb,NN,O,NEB
204,10,sever,NN,O,NEO
205,10,it,PRP,O,Nothing
206,10,has,VBZ,O,Nothing
207,10,been,VBN,O,Nothing
208,10,down,RB,O,Nothing
209,10,for,IN,O,Nothing
210,10,over,IN,O,Nothing
211,10,a,DT,O,Nothing
212,10,week,NN,O,NEB
213,10,been,VBN,O,Nothing
214,10,dos,RB,O,Nothing
215,10,attacked,VBN,O,Nothing
216,10,on,IN,O,Nothing
217,10,off,IN,O,Nothing
218,10,please,NN,O,NEB
219,10,reset,NN,O,NEO
220,10,is,VBZ,O,Nothing
221,10,filled,VBN,O,Nothing
222,10,out,RP,O,Nothing
223,10,outage,NN,O,NEB
224,10,forms,NNS,O,NEO
225,10,still,RB,O,Nothing
226,10,no,DT,B-ARGM-NEG,Nothing
227,10,response,NN,O,Nothing
228,10,stop,VB,B-V,NEB
229,10,dos,NN,B-ARG1,Nothing
230,11,comfortably,RB,B-ARG0,Nothing
231,11,mug,RBS,O,Nothing
232,11,don,VB,O,Nothing
233,11,to,TO,O,Nothing
234,11,click,VB,B-V,Nothing
235,11,its,PRP$,B-ARG1,Nothing
236,11,ransom,NN,I-ARG1,NEB
237,11,are,VBP,I-ARG1,Nothing
238,12,source,NN,B-ARG1,NEB
239,12,code,NN,I-ARG1,NEO
240,12,to,TO,I-ARG1,Nothing
241,12,lock,VB,I-ARG1,NEI
242,12,ransom,NNS,I-ARG1,NEO
243,12,are,VBP,B-V,Nothing
244,12,security,NN,B-ARG2,NEB
245,12,network,NN,I-ARG2,NEI
246,12,security,NN,I-ARG2,NEB
247,12,cube,NN,I-ARG2,NEI
248,12,security,NN,I-ARG2,NEB
249,12,virus,NN,I-ARG2,NEI
250,12,malware,NN,I-ARG2,NEI
251,12,lock,NN,I-ARG2,NEI
252,12,ransom,NN,I-ARG2,NEO
253,12,are,VBP,O,Nothing
254,12,ransom,JJ,O,NEO
255,12,protection,NN,O,NEB
256,13,android,JJ,B-V,NEB
257,13,vulnerability,NN,O,NEB
258,13,exposes,VBZ,O,Nothing
259,13,users,NNS,O,NEB
260,13,data,NNS,O,NEO
261,13,via,IN,O,Nothing
262,13,wifi,NN,O,NEB
263,13,cube,NN,O,NEI
264,13,security,NN,O,NEB
265,13,caber,VBP,O,Nothing
266,13,info,NN,O,NEB
267,13,sec,JJ,O,Nothing
268,13,security,NN,O,NEB
269,13,privacy,NN,O,NEI
270,13,risk,NN,O,NEO
271,14,hacker,NN,B-ARG0,NEB
272,14,discloses,NNS,B-V,NEO
273,14,unmatched,JJ,B-ARG1,Nothing
274,14,windows,NNS,I-ARG1,NEB
275,14,zero,CD,I-ARG1,Nothing
276,14,day,NN,I-ARG1,NEB
277,14,vulnerability,NN,I-ARG1,NEB
278,14,with,IN,I-ARG1,Nothing
279,14,pc,NN,I-ARG1,NEB
280,14,via,IN,B-ARGM-MNR,Nothing
281,14,theta,NN,I-ARGM-MNR,NEB
282,14,kernels,NNS,I-ARGM-MNR,NEO
283,15,britain,NN,O,NEB
284,15,dos,JJ,O,Nothing
285,15,maybe,RB,O,Nothing
286,15,or,CC,O,Nothing
287,15,just,RB,O,Nothing
288,15,too,RB,O,Nothing
289,15,many,JJ,O,Nothing
290,15,people,NNS,O,NEB
291,15,trying,VBG,O,Nothing
292,15,to,TO,O,Nothing
293,15,install,VB,O,Nothing
294,15,we,PRP,O,Nothing
295,15,but,CC,O,Nothing
296,15,this,DT,O,Nothing
297,15,issue,NN,O,NEB
298,15,has,VBZ,O,Nothing
299,15,messed,VBN,O,Nothing
300,15,up,RP,O,Nothing
301,15,my,PRP$,O,Nothing
302,15,box,NN,O,NEB
303,15,console,VBD,O,Nothing
304,15,itself,PRP,O,Nothing
305,15,like,IN,O,Nothing
306,15,it,PRP,O,Nothing
307,15,works,VBZ,O,Nothing
308,15,but,CC,O,Nothing
309,15,it,PRP,B-ARG0,Nothing
310,15,struggles,VBZ,O,Nothing
311,15,to,TO,O,Nothing
312,15,load,VB,O,NEB
313,15,or,CC,O,Nothing
314,15,even,RB,B-ARGM-ADV,Nothing
315,15,start,VB,B-V,Nothing
316,16,bank,NN,B-ARG1,NEB
317,16,of,IN,I-ARG1,Nothing
318,16,spain,NN,I-ARG1,NEB
319,16,hit,VBN,B-V,Nothing
320,16,by,IN,B-ARG2,Nothing
321,16,dos,JJ,I-ARG2,NEB
322,16,attack,NN,I-ARG2,NEO
323,17,ism,NN,O,NEO
324,17,going,VBG,O,Nothing
325,17,to,TO,O,Nothing
326,17,probably,RB,O,Nothing
327,17,cancel,VB,O,Nothing
328,17,the,DT,O,Nothing
329,17,cd,NN,O,NEB
330,17,arcade,VBD,O,Nothing
331,17,stick,JJ,O,Nothing
332,17,run,NN,O,NEB
333,17,to,TO,O,Nothing
334,17,another,DT,O,Nothing
335,17,date,NN,O,NEB
336,17,next,IN,O,Nothing
337,17,week,NN,O,NEB
338,17,ism,NN,O,NEO
339,17,scared,VBD,O,Nothing
340,17,my,PRP$,O,Nothing
341,17,is,VBZ,O,Nothing
342,17,will,MD,O,Nothing
343,17,dos,VB,O,Nothing
344,17,me,PRP,O,Nothing
345,17,and,CC,O,Nothing
346,17,they,PRP,O,Nothing
347,17,'ll,MD,O,Nothing
348,17,cut,VB,O,NEB
349,17,it,PRP,O,Nothing
350,17,short,RB,O,Nothing
351,17,well,RB,B-ARGM-DIS,Nothing
352,17,try,VB,B-V,Nothing
353,17,it,PRP,B-ARG1,Nothing
354,17,sometime,RB,B-ARGM-TMP,Nothing
355,17,next,JJ,I-ARGM-TMP,Nothing
356,17,week,NN,I-ARGM-TMP,NEB
357,18,a,DT,O,Nothing
358,18,new,JJ,O,Nothing
359,18,vulnerability,NN,O,NEB
360,18,in,IN,O,Nothing
361,18,alex,JJ,O,Nothing
362,18,allows,NNS,O,NEB
363,18,phishing,VBG,O,NEB
364,18,attacks,NNS,O,NEB
365,18,to,TO,O,Nothing
366,18,trick,VB,O,NEB
367,18,users,NNS,O,NEB
368,18,into,IN,O,Nothing
369,18,sending,VBG,O,NEB
370,18,their,PRP$,O,Nothing
371,18,secure,NN,O,NEB
372,18,credentials,NNS,O,NEO
373,18,this,DT,O,Nothing
374,18,trick,NN,O,NEB
375,18,called,VBD,O,Nothing
376,18,echo,JJ,O,Nothing
377,18,squatting,NN,O,NEB
378,18,and,CC,O,Nothing
379,18,allows,VBZ,O,NEB
380,18,hackers,NNS,O,NEB
381,18,to,TO,O,Nothing
382,18,hide,VB,O,Nothing
383,18,malware,NN,O,NEB
384,18,over,IN,O,Nothing
385,18,a,DT,O,Nothing
386,18,certain,JJ,O,Nothing
387,18,skill,NN,O,NEB
388,18,always,RB,O,Nothing
389,18,stay,VB,O,NEB
390,18,up,RB,O,Nothing
391,18,to,TO,O,Nothing
392,18,date,NN,O,NEB
393,18,so,RB,O,Nothing
394,18,you,PRP,O,Nothing
395,18,know,VBP,O,Nothing
396,18,what,WP,O,Nothing
397,18,to,TO,O,Nothing
398,18,look,VB,B-V,NEB
399,18,for,IN,B-ARG1,Nothing
400,19,alert,RB,O,Nothing
401,19,be,VB,O,Nothing
402,19,prepared,VBN,B-V,Nothing
403,19,against,IN,B-ARG2,Nothing
404,19,loss,NN,I-ARG2,NEB
405,19,vulnerabilities,NNS,I-ARG2,NEO
406,20,ave,NN,O,NEB
407,20,of,IN,O,Nothing
408,20,of,IN,O,Nothing
409,20,16276,CD,O,NEB
410,20,an,DT,O,Nothing
411,20,issue,NN,O,NEB
412,20,was,VBD,O,Nothing
413,20,discovered,VBN,O,Nothing
414,20,in,IN,O,Nothing
415,20,durex,NN,O,NEB
416,20,read,NN,O,NEO
417,20,in,IN,O,Nothing
418,20,drivers,NNS,O,NEB
419,20,us,PRP,O,Nothing
420,20,misc,VBP,O,Nothing
421,20,durex,VB,O,NEB
422,20,a,DT,O,Nothing
423,20,in,IN,O,Nothing
424,20,the,DT,O,Nothing
425,20,linux,JJ,O,NEB
426,20,kernel,NN,O,NEO
427,20,before,IN,O,Nothing
428,20,a,DT,O,Nothing
429,20,of,IN,O,Nothing
430,20,a,DT,O,Nothing
431,20,local,JJ,O,Nothing
432,20,attackers,NNS,O,NEB
433,20,could,MD,O,Nothing
434,20,use,VB,O,NEB
435,20,user,JJ,O,Nothing
436,20,access,NN,O,NEB
437,20,read,NN,O,NEO
438,20,writes,VBZ,O,Nothing
439,20,with,IN,O,Nothing
440,20,incorrect,JJ,O,Nothing
441,20,bounds,NNS,O,NEB
442,20,checking,VBG,O,NEO
443,20,in,IN,O,Nothing
444,20,the,DT,O,Nothing
445,20,durex,NN,O,NEB
446,20,us,PRP,O,Nothing
447,20,vul,VBP,O,NEO
448,20,mon,JJ,B-V,Nothing
449,20,vulnerability,NN,O,NEB
450,20,feed,NN,O,NEI
451,20,vul,NN,O,NEO
452,21,globe,NN,O,NEI
453,21,imposter,NN,O,NEO
454,21,ransom,NN,O,NEO
455,21,are,VBP,O,Nothing
456,21,attack,IN,O,Nothing
457,21,a,DT,O,Nothing
458,21,high,JJ,O,Nothing
459,21,intensity,NN,O,NEB
460,21,data,NNS,O,NEI
461,21,encryption,NN,O,NEO
462,21,algorithm,RB,O,NEB
463,21,numerous,JJ,O,Nothing
464,21,variants,NNS,O,NEB
465,21,cube,VBP,O,Nothing
466,21,threats,NNS,O,NEB
467,21,cube,VBP,O,Nothing
468,21,crime,NN,O,NEB
469,21,sub,NN,B-ARG1,NEO
470,21,cube,VBP,I-ARG1,Nothing
471,21,security,NN,I-ARG1,NEB
472,21,globe,NN,I-ARG1,NEI
473,21,imposter,NN,I-ARG1,NEO
474,21,which,WDT,I-ARG1,Nothing
475,21,has,VBZ,I-ARG1,Nothing
476,21,more,JJR,I-ARG1,Nothing
477,21,than,IN,I-ARG1,Nothing
478,21,of,IN,I-ARG1,Nothing
479,21,variants,NNS,I-ARG1,NEB
480,21,is,VBZ,O,Nothing
481,21,still,RB,B-ARGM-TMP,Nothing
482,21,wildly,RB,B-ARGM-MNR,Nothing
483,21,growing,VBG,B-V,Nothing
484,21,a,DT,O,Nothing
485,21,of,IN,O,Nothing
486,21,total,JJ,O,NEB
487,21,security,NN,O,NEB
488,21,blog,NN,O,NEO
489,21,via,IN,B-ARGM-MNR,Nothing
490,21,360,CD,I-ARGM-MNR,NEB
491,21,total,JJ,I-ARGM-MNR,NEB
492,21,sec,NN,I-ARGM-MNR,NEO
493,22,hacker,NN,B-ARG0,NEB
494,22,discloses,NNS,B-V,NEO
495,22,unmatched,JJ,B-ARG1,Nothing
496,22,windows,NNS,I-ARG1,NEB
497,22,zero,CD,I-ARG1,Nothing
498,22,day,NN,I-ARG1,NEB
499,22,vulnerability,NN,I-ARG1,NEB
500,22,with,IN,I-ARG1,Nothing
501,22,pc,NN,I-ARG1,NEB
502,23,word,NN,O,NEB
503,23,press,NN,O,NEI
504,23,rest,NN,O,NEO
505,23,apr,JJ,O,Nothing
506,23,day,NN,O,NEB
507,23,exploit,VB,O,Nothing
508,23,is,VBZ,O,Nothing
509,23,out,RP,O,Nothing
510,23,freelance,JJ,O,Nothing
511,23,designer,NN,O,NEB
512,23,we,PRP,O,Nothing
513,23,designer,VBP,O,NEB
514,23,we,PRP,B-ARG0,Nothing
515,23,developer,VBP,B-V,Nothing
516,23,commerce,NN,B-ARG1,NEB
517,23,singapore,NN,O,NEO
518,23,so,RB,O,Nothing
519,24,prat,NN,O,NEB
520,24,eek,NN,O,NEO
521,24,of,IN,O,Nothing
522,24,of,IN,O,Nothing
523,24,can,MD,O,Nothing
524,24,we,PRP,O,Nothing
525,24,report,VB,O,NEB
526,24,vulnerability,NN,O,NEB
527,24,in,IN,O,Nothing
528,24,a,DT,B-ARG1,Nothing
529,24,domain,NN,I-ARG1,NEB
530,24,which,WDT,B-R-ARG1,Nothing
531,24,is,VBZ,O,Nothing
532,24,neither,DT,B-ARGM-NEG,Nothing
533,24,included,VBN,B-V,Nothing
534,24,in,IN,B-ARG2,Nothing
535,24,out,RP,I-ARG2,Nothing
536,24,scope,NN,I-ARG2,NEB
537,24,nor,CC,I-ARG2,Nothing
538,24,in,IN,I-ARG2,Nothing
539,24,scope,NN,I-ARG2,NEB
540,25,whichever,WDT,B-ARG0,Nothing
541,25,one,CD,I-ARG0,Nothing
542,25,of,IN,I-ARG0,Nothing
543,25,you,PRP,I-ARG0,Nothing
544,25,little,JJ,I-ARG0,Nothing
545,25,freaks,NNS,I-ARG0,NEB
546,25,decided,VBD,I-ARG0,Nothing
547,25,to,TO,I-ARG0,Nothing
548,25,test,VB,I-ARG0,Nothing
549,25,run,VB,I-ARG0,NEB
550,25,your,PRP$,I-ARG0,Nothing
551,25,dos,JJ,I-ARG0,Nothing
552,25,attack,NN,I-ARG0,NEB
553,25,on,IN,I-ARG0,Nothing
554,25,the,DT,I-ARG0,Nothing
555,25,campus,NN,I-ARG0,NEB
556,25,ssh,JJ,I-ARG0,Nothing
557,25,systems,NNS,I-ARG0,NEB
558,25,on,IN,I-ARG0,Nothing
559,25,a,DT,I-ARG0,Nothing
560,25,friday,JJ,I-ARG0,Nothing
561,25,afternoon,NN,I-ARG0,NEB
562,25,can,MD,B-ARGM-MOD,Nothing
563,25,eat,VB,B-V,Nothing
564,25,my,PRP$,B-ARG1,Nothing
565,25,entire,JJ,I-ARG1,Nothing
566,25,ass,NN,I-ARG1,NEB
567,26,rainbow,NN,O,NEB
568,26,game,NN,O,NEO
569,26,only,RB,O,Nothing
570,26,rural,JJ,O,Nothing
571,26,dos,NN,O,NEB
572,26,for,IN,O,Nothing
573,26,get,VB,B-V,Nothing
574,26,the,DT,B-ARG1,Nothing
575,26,diamond,NN,I-ARG1,NEB
576,28,acc,NN,O,NEI
577,28,claims,NNS,O,NEO
578,28,of,IN,O,Nothing
579,28,dos,JJ,O,Nothing
580,28,net,JJ,O,NEB
581,28,neutrality,NN,O,NEB
582,28,attack,NN,O,NEO
583,28,were,VBD,O,Nothing
584,28,bogus,JJ,O,Nothing
585,28,focus,NN,O,NEB
586,28,fix,NN,B-V,NEO
587,28,my,PRP$,B-ARG1,Nothing
588,28,computer,NN,I-ARG1,NEB
589,28,onsite,RB,B-ARGM-LOC,Nothing
590,28,com,NN,I-ARGM-LOC,NEB
591,29,ave,NN,O,NEB
592,29,of,IN,O,Nothing
593,29,of,IN,O,Nothing
594,29,16278,CD,O,NEB
595,29,phpkai,NNS,O,NEB
596,29,yuan,JJ,O,Nothing
597,29,cms,NN,O,NEI
598,29,php,NN,O,NEO
599,29,open,JJ,O,Nothing
600,29,source,NN,O,NEB
601,29,cms,NN,O,NEI
602,29,posts,NNS,O,NEO
603,29,of,IN,O,Nothing
604,29,a,DT,O,Nothing
605,29,a,DT,O,Nothing
606,29,allows,VBZ,O,Nothing
607,29,an,DT,O,Nothing
608,29,unauthenticated,JJ,O,Nothing
609,29,user,NN,O,NEB
610,29,to,TO,O,Nothing
611,29,execute,VB,O,Nothing
612,29,arbitrary,JJ,O,Nothing
613,29,sol,NN,O,NEB
614,29,commands,NNS,O,NEO
615,29,via,IN,O,Nothing
616,29,the,DT,O,Nothing
617,29,day,NN,O,NEB
618,29,module,VBZ,O,Nothing
619,29,member,NN,O,NEB
620,29,controllers,NNS,O,NEO
621,29,apr,VBP,B-V,Nothing
622,29,pop,NN,O,NEB
623,29,ajax,NN,O,NEO
624,29,save,VBP,O,Nothing
625,29,draft,NN,O,NEB
626,29,function,NN,O,NEO
627,29,with,IN,O,Nothing
628,29,the,DT,O,Nothing
629,29,dir,NN,O,NEB
630,29,par,NN,O,NEI
631,29,vul,NN,O,NEI
632,29,mon,NN,O,NEI
633,29,vulnerability,NN,O,NEI
634,29,feed,NN,O,NEI
635,29,vul,NN,O,NEI
636,30,hmm,NN,O,NEB
637,30,says,VBZ,O,Nothing
638,30,ransom,NN,B-ARG1,NEB
639,30,are,VBP,O,Nothing
640,30,attack,NN,B-ARG1,NEB
641,30,turned,VBD,B-V,Nothing
642,30,into,IN,B-ARG2,Nothing
643,30,healthcare,NN,I-ARG2,NEB
644,30,data,NNS,I-ARG2,NEI
645,30,breach,NN,I-ARG2,NEO
646,31,recurs,NNS,O,NEB
647,31,botnet,NN,O,NEO
648,31,linked,VBN,O,Nothing
649,31,to,TO,O,Nothing
650,31,banking,VBG,O,Nothing
651,31,spam,NN,O,NEB
652,31,campaign,NN,O,NEO
653,31,spear,VBP,O,NEB
654,31,phishing,VBG,B-V,NEB
655,32,ave,NN,O,NEB
656,32,of,IN,O,Nothing
657,32,of,IN,O,Nothing
658,32,13871,CD,O,NEB
659,32,huff,NN,O,NEB
660,32,an,DT,O,Nothing
661,32,issue,NN,O,NEB
662,32,was,VBD,O,Nothing
663,32,discovered,VBN,O,Nothing
664,32,in,IN,O,Nothing
665,32,the,DT,O,Nothing
666,32,of,IN,O,Nothing
667,32,huff,NN,O,NEB
668,32,a,DT,O,Nothing
669,32,a,DT,O,Nothing
670,32,of,IN,O,Nothing
671,32,library,NN,O,NEB
672,32,there,EX,O,Nothing
673,32,is,VBZ,O,Nothing
674,32,a,DT,O,Nothing
675,32,heap,NN,B-ARG2,NEB
676,32,based,VBN,B-V,Nothing
677,32,buffer,NN,B-ARG1,NEB
678,32,overflow,NN,I-ARG1,NEO
679,33,ave,NN,O,NEB
680,33,of,IN,O,Nothing
681,33,of,IN,O,Nothing
682,33,13872,CD,O,NEB
683,33,huff,NN,O,NEB
684,33,an,DT,O,Nothing
685,33,issue,NN,O,NEB
686,33,was,VBD,O,Nothing
687,33,discovered,VBN,O,Nothing
688,33,in,IN,O,Nothing
689,33,the,DT,O,Nothing
690,33,of,IN,O,Nothing
691,33,huff,NN,O,NEB
692,33,a,DT,O,Nothing
693,33,a,DT,O,Nothing
694,33,of,IN,O,Nothing
695,33,library,NN,O,NEB
696,33,there,EX,O,Nothing
697,33,is,VBZ,O,Nothing
698,33,a,DT,O,Nothing
699,33,heap,NN,B-ARG2,NEB
700,33,based,VBN,B-V,Nothing
701,33,buffer,NN,B-ARG1,NEB
702,33,overflow,NN,I-ARG1,NEO
703,34,ave,NN,O,NEB
704,34,of,IN,O,Nothing
705,34,of,IN,O,Nothing
706,34,13874,CD,O,NEB
707,34,huff,NN,O,NEB
708,34,an,DT,O,Nothing
709,34,issue,NN,O,NEB
710,34,was,VBD,O,Nothing
711,34,discovered,VBN,O,Nothing
712,34,in,IN,O,Nothing
713,34,the,DT,O,Nothing
714,34,of,IN,O,Nothing
715,34,huff,NN,O,NEB
716,34,a,DT,O,Nothing
717,34,a,DT,O,Nothing
718,34,of,IN,O,Nothing
719,34,library,NN,O,NEB
720,34,there,EX,O,Nothing
721,34,is,VBZ,O,Nothing
722,34,a,DT,O,Nothing
723,34,stack,NN,B-ARG2,NEB
724,34,based,VBN,B-V,Nothing
725,34,buffer,NN,B-ARG1,NEB
726,34,overflow,NN,I-ARG1,NEO
727,35,globe,NN,O,NEI
728,35,imposter,NN,O,NEO
729,35,ransom,NN,O,NEO
730,35,are,VBP,O,Nothing
731,35,with,IN,O,Nothing
732,35,high,JJ,O,Nothing
733,35,intensity,NN,O,NEB
734,35,data,NNS,O,NEI
735,35,encryption,NN,O,NEO
736,35,amp,RB,O,Nothing
737,35,numerous,JJ,O,Nothing
738,35,variants,NNS,O,NEB
739,35,cube,VBP,O,NEB
740,35,attack,NN,O,NEB
741,35,cube,NN,O,NEB
742,35,crime,NN,O,NEI
743,35,hackers,NNS,O,NEO
744,35,sub,VBP,O,Nothing
745,35,cube,JJ,B-ARG1,NEB
746,35,security,NN,I-ARG1,NEI
747,35,globe,NN,I-ARG1,NEI
748,35,imposter,NN,I-ARG1,NEO
749,35,which,WDT,I-ARG1,Nothing
750,35,has,VBZ,I-ARG1,Nothing
751,35,more,JJR,I-ARG1,Nothing
752,35,than,IN,I-ARG1,Nothing
753,35,of,IN,I-ARG1,Nothing
754,35,variants,NNS,I-ARG1,NEB
755,35,is,VBZ,O,Nothing
756,35,still,RB,B-ARGM-TMP,Nothing
757,35,wildly,RB,B-ARGM-MNR,Nothing
758,35,growing,VBG,B-V,Nothing
759,35,a,DT,B-ARG1,Nothing
760,35,of,IN,I-ARG1,Nothing
761,35,total,JJ,I-ARG1,NEB
762,35,security,NN,I-ARG1,NEI
763,35,blog,NN,I-ARG1,NEO
764,35,via,IN,B-ARGM-MNR,Nothing
765,35,360,CD,I-ARGM-MNR,NEB
766,35,total,JJ,I-ARGM-MNR,NEB
767,35,sec,NN,I-ARGM-MNR,NEO
768,36,browser,NN,O,NEB
